timestamp,c2,c1,c0,atm_iv,resid_5000,resid_5100,resid_5200,resid_5300,resid_5400,resid_5500
0,0.717214630302948,0.00022882661449907208,0.012611850384482072,0.012611850384482072,-0.0001355440725153475,9.971909587461539e-05,0.00021387061243740083,0.00016050901714628578,-0.0006840736160510594,0.00034551896310813617
100,0.957215200362885,-0.008235385463179413,0.012655374401147406,0.012655374401147406,-0.0001431123749092763,9.299429440559441e-05,0.00027024059397605035,0.00011026548423732387,-0.0006879739781474759,0.0003575859804377905
200,0.43041309799837113,0.0024202750343538665,0.012574544356693763,0.012574544356693763,-0.00016983419883613918,0.0001387675855671986,0.00027773748438050805,8.511584303928094e-05,-0.000709680132421852,0.0003778934182710105
300,1.0071805142745762,-0.008458883654634548,0.012625989948812729,0.012625989948812729,-6.348253939762218e-05,-4.640368067953399e-05,0.000255187960345361,0.00018160214235925752,-0.0006259569177712032,0.000299053035143694
400,1.0071805142745762,-0.008458883654634548,0.012625989948812729,0.012625989948812729,-6.348253939762218e-05,-4.640368067953399e-05,0.000255187960345361,0.00018160214235925752,-0.0006259569177712032,0.000299053035143694
500,0.25679958281038,0.0018192311545792343,0.012638775013640073,0.012638775013640073,-0.00015048509790244712,0.00013871025317593356,0.0001926039007684524,0.00014076765272614394,-0.0006620568487310987,0.0003404601399629656
600,1.642210406852536,-0.021561500902186195,0.012782362944029237,0.012782362944029237,-5.3854763358019905e-05,-2.206392842138763e-05,0.00014987101565459328,0.0002498730832827308,-0.0005920115315297455,0.0002681861243718723
700,1.2720939626643415,-0.005944809557517798,0.012554708480462778,0.012554708480462778,-0.00010429793223381764,5.363248151780617e-05,0.00018756765378776484,0.00019717686088297284,-0.0006503441001072946,0.00031626503615254584
800,1.1404942101653444,-0.006322696681565753,0.012590305653342319,0.012590305653342319,-0.0001035475682290999,2.8893937542974132e-05,0.00024590889342272944,0.0001650645471130644,-0.0006659534701972045,0.0003296336603475433
900,1.2720939626643415,-0.005944809557517798,0.012554708480462778,0.012554708480462778,-0.00010429793223381764,5.363248151780617e-05,0.00018756765378776484,0.00019717686088297284,-0.0006503441001072946,0.00031626503615254584
1000,0.66105975882622,-0.0031561407379222224,0.012642925193167403,0.012642925193167403,-0.00013708766657675835,0.00013918191891526023,0.00013036266096849887,0.0001861853508650299,-0.0006350134684912426,0.0003163712043192258
1100,0.25679958281038,0.0018192311545792343,0.012638775013640073,0.012638775013640073,-0.00015048509790244712,0.00013871025317593356,0.0001926039007684524,0.00014076765272614394,-0.0006620568487310987,0.0003404601399629656
1200,1.0954704708909795,-0.008916496441658974,0.012618093473651622,0.012618093473651622,-5.836573353865289e-05,-5.1348339808309634e-06,0.00014397350836794186,0.00021016751414302225,-0.0005400636052064929,0.0002494231502150803
1300,0.49903551690356657,0.0039645283877961035,0.012653622703854672,0.012653622703854672,-0.0001338554877585857,8.801281006859743e-05,0.00023350989381293145,0.0001555462703734089,-0.0006946875580130414,0.0003514740715167171
1400,1.0665395125459562,-0.005287648611202006,0.012592421004488867,0.012592421004488867,-0.00012071844959985444,5.314886519713208e-05,0.00026679067923383523,0.0001319417228578413,-0.0006735400458892007,0.00034237722820026906
1500,1.321104887386141,-0.010445428056637262,0.01263300409887293,0.01263300409887293,-0.00010864980946555074,3.2739938237554e-05,0.00026281671802548187,0.000143451881205613,-0.0006633319195869514,0.0003329731915838151
1600,0.805195390167824,0.0032707314985034536,0.01255296157164923,0.01255296157164923,-0.00011405007069845499,6.123798347682646e-05,0.00021103469007031916,0.000181337640784646,-0.0006707452463874403,0.0003311850027540534
1700,1.029253250026291,0.0048038533100838625,0.012569307211234788,0.012569307211234788,-0.00014346352907364246,8.358137795036122e-05,0.0002689519779575031,0.00017659996563874035,-0.0007773853092071844,0.0003917155167342413
